Timestamp,GDP in Germany Annually,Average Income in Germany Annually,Expenditures for alcoholic beverages in Germany Annually,Personal Savings in Germany Quarterly,Disposable Personal Income in Germany Quarterly,Consumer Spending in Germany Quarterly,Unemployment Rate in Germany Monthly,Consumer Confidence in Germany Monthly,Car Production in Germany Monthly,Car Registrations in Germany Monthly,Capacity Utilization in Germany Monthly,Business Confidence in Germany Monthly,Bankruptcies in Germany Monthly,BMW 3-Series Sales in Germany (annually),BMW 3-Series Sales in Germany (quarterly),BMW 3-Series Sales in Germany (monthly),BMW 3-Series Sales in China,BMW 3-Series Convertible Sales in China,BMW 3-Series Coupe Sales in China,BMW 3-Series Estate Sales in China,BMW 3-Series Sedan Sales in China,BMW i3 Sales in China,BMW i4 Sales in China,BMW 3-Series Estate Sales in Germany,BMW 3-Series Convertible Sales in Germany,BMW 3-Series Coupe Sales in Germany,BMW 3-Series Estate Sales in Germany,BMW 3-Series Sedan Sales in Germany,BMW i3 Sales in Germany,BMW i4 Sales in Germany,Tesla Model 3 Sales in China,Tesla Model S Sales in China,Tesla Model 3 Sales in Germany,Tesla Model S Sales in Germany
31.01.10,,,,,,,0.08,3.4,376937,181189,74.6,90.6,2547,0,0,3201,2160,259,142,0,1759,0,0,4,286,326,1608,977,0,0,0,0,0,0
28.02.10,,,,,,,0.08,3.3,450355,194846,79.3,90.7,2558,0,0,4365,1947,147,109,1,1690,0,0,8,296,266,2091,1704,0,0,0,0,0,0
31.03.10,,,,10.5,399.95,409.3,0.08,3.2,560055,294375,82.1,92.2,3125,0,0,6617,3065,177,126,0,2762,0,0,19,619,513,3260,2206,0,0,0,0,0,0
30.04.10,,,,,,,0.08,3.4,464591,259414,83.7,95.5,2794,0,21381,7198,3796,207,116,0,3473,0,0,24,875,649,3435,2215,0,0,0,0,0,0
31.05.10,,,,,,,0.08,3.7,470130,249708,84.6,95.6,2692,0,0,6165,3054,174,83,0,2797,0,0,26,791,605,2818,1925,0,0,0,0,0,0
30.06.10,,,,,404.58,413.23,0.08,3.5,528820,289259,85.8,96.2,2752,0,0,8071,3137,225,84,0,2828,0,0,43,850,692,3851,2635,0,0,0,0,0,0
31.07.10,,,,,,,0.08,3.7,392553,237428,86.2,98.5,2760,0,0,6242,2940,268,113,0,2559,0,0,42,603,544,2933,2120,0,0,0,0,0,0
31.08.10,,,,,,,0.08,4.1,335748,200885,85.5,99.8,2660,0,24095,3617,3094,166,133,0,2795,0,0,10,246,267,1955,1139,0,0,0,0,0,0
30.09.10,,,,,408.54,415.16,0.08,4.4,536468,259748,84.6,100.7,2595,0,0,5368,3506,134,167,0,3205,0,0,22,323,460,2601,1962,0,0,0,0,0,0
31.10.10,,,,,,,0.07,5,502507,256775,84.6,101.8,2483,0,0,5548,3029,190,184,0,2655,0,0,10,289,517,3097,1635,0,0,0,0,0,0
30.11.10,,,,,,,0.07,5.2,519765,262262,83.7,103.4,2498,0,0,6125,2626,122,175,0,2329,0,0,6,213,484,3636,1786,0,0,0,0,0,0
31.12.10,3399.67,51507,24772468420,,412.93,417.26,0.07,5.5,414480,230371,82.4,103,2534,68270,22794,5753,2910,143,266,0,2501,0,0,15,294,438,3461,1545,0,0,0,0,0,0
31.01.11,,,,,,,0.07,5.6,398078,211056,82.4,101.6,2304,0,0,2475,3233,88,446,0,2699,0,0,2,195,295,1110,873,0,0,0,0,0,0
28.02.11,,,,,,,0.07,5.8,519342,224426,82.5,102.5,2463,0,0,3948,1643,1,5,0,1637,0,0,8,483,449,1628,1380,0,0,0,0,0,0
31.03.11,,,,9.9,412.07,416.2,0.07,5.8,583399,327921,83.2,102.2,2762,0,0,6478,4064,42,162,0,3860,0,0,1,868,550,3170,1889,0,0,0,0,0,0
30.04.11,,,,,,,0.07,6,470463,266251,84,102.2,2587,0,18936,6035,4162,22,142,0,3998,0,0,9,798,458,3120,1650,0,0,0,0,0,0
31.05.11,,,,,,,0.07,5.9,563015,304543,84,102.5,2611,0,0,6636,3976,23,142,0,3811,0,0,21,692,465,3561,1897,0,0,0,0,0,0
30.06.11,,,,,418.76,418.03,0.07,5.6,456548,288382,84.4,101.9,2520,0,0,6548,4174,2,12,0,4160,0,0,58,689,432,3205,2164,0,0,0,0,0,0
31.07.11,,,,,,,0.07,5.6,462005,260907,84.3,102.2,2504,0,0,4914,3804,66,226,0,3512,0,0,26,512,330,2646,1400,0,0,0,0,0,0
31.08.11,,,,,,,0.07,5.4,396706,237561,84.3,99.6,2583,0,23091,4993,4745,67,248,0,4430,0,0,34,402,404,2277,1876,0,0,0,0,0,0
30.09.11,,,,,420.13,419.56,0.07,5.3,562504,280689,84,98,2520,0,0,3954,4518,68,214,0,4236,0,0,22,312,353,1666,1601,0,0,0,0,0,0
31.10.11,,,,,,,0.07,5.2,502897,258253,84.2,97.9,2363,0,0,4565,3519,56,159,0,3304,0,0,4,265,392,1982,1922,0,0,0,0,0,0
30.11.11,,,,,,,0.07,5.3,546272,269144,84.3,98.1,2389,0,0,5430,4164,75,187,0,3902,0,0,23,227,344,2971,1865,0,0,0,0,0,0
31.12.11,3749.32,53345,24805063840,,423.05,420.87,0.07,5.4,410689,244501,84.3,98.1,2493,63110,21083,7134,4699,62,155,0,4482,0,0,30,423,503,5187,991,0,0,0,0,0,0
31.01.12,,,,,,,0.07,5.6,443510,210195,84.4,98.4,2321,0,0,2683,3915,45,85,0,3785,0,0,39,190,261,1852,341,0,0,0,0,0,0
28.02.12,,,,,,,0.07,5.7,508798,224318,84.1,99.3,2353,0,0,4031,5231,39,88,0,5104,0,0,76,301,313,2167,1174,0,0,0,0,0,0
31.03.12,,,,10.1,430.36,422.71,0.07,5.9,546169,339123,84.6,99.5,2809,0,0,6134,9124,57,73,0,8994,0,0,25,975,402,3180,1552,0,0,0,0,0,0
30.04.12,,,,,,,0.07,5.9,426321,274066,85.5,100.1,2573,0,20808,7960,2733,55,97,0,2581,0,0,21,478,251,3766,3444,0,0,0,0,0,0
31.05.12,,,,,,,0.07,5.8,448045,289977,85.4,98.9,2353,0,0,7116,3575,70,114,0,3391,0,0,18,502,263,3278,3055,0,0,0,0,0,0
30.06.12,,,,,426.18,423.63,0.07,5.7,463839,296722,86,96.9,2367,0,0,6252,2791,61,104,0,2626,0,0,42,399,239,2442,3130,0,0,0,0,0,0
31.07.12,,,,,,,0.07,5.7,460830,247860,87,95.6,2580,0,0,3923,1187,95,99,0,993,0,0,21,276,192,766,2668,0,0,0,0,0,0
31.08.12,,,,,,,0.07,5.8,363254,226455,87.9,95.1,2390,0,20878,3587,1723,67,101,0,1555,0,0,15,235,237,453,2647,0,0,0,0,0,0
30.09.12,,,,,428.34,424.9,0.07,6,450072,250082,88,94.8,2057,0,0,4474,2433,66,82,0,2285,0,0,19,214,267,1002,2972,0,0,0,0,0,0
31.10.12,,,,,,,0.07,6,454716,259529,87.5,94.7,2405,0,0,4713,2597,49,64,0,2484,0,0,40,155,177,2319,2022,0,0,0,0,0,0
30.11.12,,,,,,,0.07,6.1,482406,259846,87.7,94,2211,0,0,6129,4147,50,77,0,4020,0,0,12,170,192,3440,2315,0,0,0,0,0,0
31.12.12,3527.14,53653,25308657510,,427.82,423.1,0.07,6,340499,204331,87.3,95.4,1878,63160,21474,6158,5172,45,53,0,5074,0,0,24,245,193,3305,2391,0,0,0,0,0,0
31.01.13,,,,,,,0.07,5.8,397634,192090,86.2,96.3,2224,0,0,4728,7077,116,213,0,6748,0,0,5,182,204,2463,1874,0,0,0,0,0,0
28.02.13,,,,,,,0.07,5.7,459180,200683,85.1,97.3,2071,0,0,4858,3918,60,146,0,3712,0,0,44,192,156,2824,1642,0,0,0,0,0,0
31.03.13,,,,9.2,427.96,421.58,0.07,5.9,474467,281184,83.9,97.6,2313,0,0,6770,5229,78,162,0,4989,0,0,20,363,275,3856,2256,0,0,0,0,0,0
30.04.13,,,,,,,0.07,6,502411,284444,82.9,96,2272,0,22838,6482,5419,76,181,0,5162,0,0,85,556,186,3579,2076,0,0,0,0,0,0
31.05.13,,,,,,,0.07,6.2,428684,261316,83.2,97.1,2261,0,0,6274,6224,133,227,1,5863,0,0,95,512,203,3302,2162,0,0,0,0,0,0
30.06.13,,,,,433.6,425.39,0.07,6.5,475779,282913,70,96.5,2112,0,0,5890,5425,123,222,0,5080,0,0,21,365,165,3456,1883,0,0,0,0,0,6
31.07.13,,,,,,,0.07,6.8,444960,253146,74.9,98,2459,0,0,5295,6673,78,185,0,6410,0,0,23,240,84,3249,1699,23,0,0,0,0,7
31.08.13,,,,,,,0.07,7,394991,214044,81,98.7,2212,0,22344,4885,6123,77,170,0,5876,0,0,27,106,46,3325,1381,77,0,0,0,0,14
30.09.13,,,,,436.95,426.96,0.07,7,514468,247199,82.2,99,2000,0,0,5688,6386,61,106,0,6219,0,0,13,103,28,3952,1592,51,0,0,0,0,43
31.10.13,,,,,,,0.07,7.1,456669,265441,85.4,98.9,2222,0,0,5300,5771,41,98,4,5628,0,0,27,65,30,3610,1568,197,0,0,0,0,37
30.11.13,,,,,,,0.07,7.1,537383,254651,86.5,99.5,2049,0,0,4384,6442,45,103,10,6284,0,0,22,41,24,2968,1329,121,0,0,0,0,61
31.12.13,3733.81,53327,24981131800,,434.71,424.16,0.07,7.4,353278,215320,85.4,100.3,1800,64279,19097,3725,6075,37,71,16,5951,0,0,26,35,37,2605,1022,90,0,0,0,0,37
31.01.14,,,,,,,0.07,7.6,442430,205996,86,101.4,2055,0,0,3759,9623,32,101,40,9450,0,0,11,80,10,2665,993,229,0,0,0,0,30
28.02.14,,,,,,,0.07,8.3,513041,209349,84.9,101.3,2047,0,0,3670,4612,12,50,35,4515,0,0,11,76,7,2532,1044,179,0,0,2,0,66
31.03.14,,,,9.7,439.23,425.34,0.07,8.5,522428,296408,85.1,101.2,2054,0,0,4853,7831,23,57,52,7699,0,0,1,38,11,3464,1339,229,0,0,1,0,143
30.04.14,,,,,,,0.07,8.5,494416,274097,84.9,102.1,2131,0,16561,4279,7906,18,40,40,7808,0,0,1,16,5,2943,1314,274,0,0,3,0,48
31.05.14,,,,,,,0.07,8.5,482483,274804,84.6,100.1,1932,0,0,4539,7840,17,41,48,7734,0,0,2,10,4,3240,1283,255,0,0,92,0,57
30.06.14,,,,,443.04,427.05,0.07,8.6,456069,277614,84.2,99.8,1813,0,0,4942,6848,9,33,43,6763,0,0,9,5,6,3537,1385,210,0,0,178,0,102
31.07.14,,,,,,,0.07,8.9,535001,270249,82.9,99.5,2111,0,0,3876,7910,7,30,40,7833,1,0,1,3,5,2661,1206,211,0,0,127,0,26
31.08.14,,,,,,,0.07,8.9,272744,213092,81.9,98.4,2002,0,16924,3567,6908,11,10,39,6848,3,0,5,2,1,2691,868,151,0,0,36,0,48
30.09.14,,,,,447.73,430.24,0.07,8.6,524072,260062,81.3,97.7,2054,0,0,3690,8677,8,20,38,8611,4,0,2,4,7,2704,973,131,0,0,472,0,56
31.10.14,,,,,,,0.07,8.4,478999,275320,80.2,96.3,2125,0,0,3675,6663,8,9,27,6619,6,0,12,1,1,2676,985,133,0,0,675,0,17
30.11.14,,,,,,,0.07,8.5,515340,250082,77.4,95.9,1816,0,0,2901,6491,6,15,40,6430,5,0,6,2,1,2261,631,126,0,0,471,0,57
31.12.14,3889.09,53824,24212489830,,450.18,432.78,0.07,8.7,367003,229700,,98.2,1945,46984,13499,3233,6597,5,21,15,6556,7,0,6,1,0,2492,734,103,0,0,442,0,165
31.01.15,,,,,,,0.07,9,421510,211337,,98.8,1739,0,0,2310,8655,5,15,37,8598,7,0,5,1,2,1669,633,138,0,0,469,0,57
28.02.15,,,,,,,0.07,9.3,501118,223254,,98.7,1879,0,0,3048,6091,2,11,21,6057,11,0,17,0,0,2257,774,182,0,0,260,0,26
31.03.15,,,,9.7,449.08,434.36,0.07,9.7,556049,323039,,99.1,2097,0,0,4183,7140,2,14,27,7097,7,0,5,2,1,3090,1085,177,0,0,326,0,211
30.04.15,,,,,,,0.07,10,479631,291395,,100.2,2066,0,13008,3467,8769,6,10,31,8722,9,0,0,1,1,2504,961,219,0,0,268,0,86
31.05.15,,,,,,,0.06,10.1,447925,256385,,100.4,1761,0,0,2775,9281,4,11,22,9244,7,0,1,0,0,2066,708,153,0,0,242,0,92
30.06.15,,,,,457.36,436.37,0.06,10.2,513315,313539,,100.2,2016,0,0,2897,8760,6,3,23,8728,4,0,5,0,1,2087,804,120,0,0,227,0,224
31.07.15,,,,,,,0.06,10.1,533264,290196,,99.7,2187,0,0,2399,9386,2,7,22,9355,5,0,3,0,0,1737,659,194,0,0,221,0,132
31.08.15,,,,,,,0.06,10.1,338834,226314,,100.6,1807,0,9983,1912,8582,2,3,13,8564,16,0,6,0,0,1454,452,75,0,0,242,0,130
30.09.15,,,,,461.43,438.95,0.06,9.9,538149,272479,,100.1,1841,0,0,3582,8990,4,2,19,8965,3,0,0,0,0,2636,946,164,0,0,379,0,133
31.10.15,,,,,,,0.06,9.9,529856,278372,,100.6,1996,0,0,4139,6672,3,4,8,6657,8,0,14,0,7,3066,1052,201,0,0,302,0,121
30.11.15,,,,,,,0.06,9.4,518512,272377,,100.9,1880,0,0,3661,7010,1,1,11,6997,19,0,0,0,1,2790,870,314,0,0,357,0,136
31.12.15,3357.59,54262,25874831530,,466.02,443.06,0.06,9.3,329975,247355,,100.6,1854,37833,14842,3460,7997,6,6,15,7970,20,0,16,0,0,2585,859,334,0,0,399,0,234
31.01.16,,,,,,,0.06,9.4,416983,218365,,99.7,1692,0,0,2505,10338,1,5,20,10312,35,0,2,0,0,1787,716,149,0,0,180,0,38
28.02.16,,,,,,,0.06,9.4,529061,250146,,98.7,1842,0,0,3780,4701,0,0,6,4695,29,0,10,0,0,2893,877,171,0,0,256,0,91
31.03.16,,,,9.9,464.44,445.63,0.06,9.5,523210,322913,,99.1,1902,0,0,3590,10330,0,7,12,10311,74,0,0,0,0,2764,826,211,0,0,919,0,267
30.04.16,,,,,,,0.06,9.4,550158,315921,,100.1,1882,0,13420,3545,10598,0,1,3,10594,64,0,3,0,0,2491,1051,159,0,0,250,0,86
31.05.16,,,,,,,0.06,9.7,445393,286931,,99.8,1741,0,0,3170,10482,0,1,13,10468,19,0,2,0,0,2245,923,86,0,0,211,0,50
30.06.16,,,,,471.4,444.67,0.06,9.8,563546,339563,,100,1940,0,0,3263,8618,0,1,6,8611,50,0,1,0,0,2414,848,47,0,0,820,0,226
31.07.16,,,,,,,0.06,10.1,410630,278866,,100,1805,0,0,3651,7679,0,1,12,7666,50,0,0,0,0,2785,866,134,0,0,332,0,80
31.08.16,,,,,,,0.06,10,410256,245076,,99.7,1789,0,12298,2214,8257,1,0,6,8250,344,0,0,0,0,1659,555,280,0,0,725,0,140
30.09.16,,,,,472.83,446.72,0.06,10.2,529463,298002,,100.9,1896,0,0,3973,6686,0,0,16,6670,485,0,0,0,0,2929,1044,511,0,0,910,0,200
31.10.16,,,,,,,0.06,10,464434,262724,,101.3,1621,0,0,2951,5819,0,1,12,5806,9,0,1,0,0,2237,713,391,0,0,236,0,52
30.11.16,,,,,,,0.06,9.7,535180,276567,,101.5,1677,0,0,3724,8402,0,0,16,8386,12,0,2,0,0,2844,878,291,0,0,310,0,84
31.12.16,3469.85,55418,26707806800,,478.46,451.01,0.06,9.8,368494,256533,,100.9,1740,39208,13490,2842,10425,1,1,15,10408,15,0,0,0,0,2286,556,433,0,0,1223,0,160
